"id_clientes","cliente","endereco","id_concessionarias","data_inclusao","data_atualizacao"
260459,"Eduardo Gustavo Cardoso","Rua Flores Vinhedos, 3177",14,"2025-12-27 02:05:01.58559+00","2025-12-27 02:05:01.58559+00"
260747,"Diego Alice Barbosa","Alameda Ipiranga da Fonte, 3615",12,"2025-12-28 02:05:01.325309+00","2025-12-28 02:05:01.325309+00"
260844,"Lívia da Pinto","Travessa São Pedro dos Peixes, 8775",13,"2025-12-28 10:10:01.17107+00","2025-12-28 10:10:01.17107+00"
260941,"Gustavo Pedro Fernandes","Alameda Tiradentes do Porto, 7105",23,"2025-12-28 18:15:01.568406+00","2025-12-28 18:15:01.568406+00"
259595,"Juliana Lucas Campos","Avenida Monteiro do Bosque, 6008",9,"2025-12-24 02:05:01.668005+00","2025-12-24 02:05:01.668005+00"
261035,"Ana Sofia Mendes","Estrada São João da Harmonia, 1174",18,"2025-12-29 02:05:01.592885+00","2025-12-29 02:05:01.592885+00"
261132,"Luiz Marcos Moura","Vila Zumbi dos Peixes, 9749",5,"2025-12-29 10:10:01.351184+00","2025-12-29 10:10:01.351184+00"
261323,"César Marcos Cavalcanti","Estrada Marquês do Porto, 6867",20,"2025-12-30 02:05:02.110018+00","2025-12-30 02:05:02.110018+00"
261420,"Eduardo das Carvalho","Vila Paulista da Aventura, 1785",28,"2025-12-30 10:10:01.149902+00","2025-12-30 10:10:01.149902+00"
260556,"César Juliana Santos","Beco Tocantins da Aventura, 6494",28,"2025-12-27 10:10:01.150018+00","2025-12-27 10:10:01.150018+00"
260653,"Carlos Paula Fernandes","Largo Visconde das Rosas, 9877",26,"2025-12-27 18:15:02.01585+00","2025-12-27 18:15:02.01585+00"
260171,"Vanessa da Gomes","Rodovia Monteiro da Praia, 8799",26,"2025-12-26 02:05:01.516269+00","2025-12-26 02:05:01.516269+00"
260268,"Tatiana Maria Carvalho","Travessa Independência da Harmonia, 4465",28,"2025-12-26 10:10:02.066755+00","2025-12-26 10:10:02.066755+00"
260365,"Camila das Costa","Beco Brasil da Saúde, 701",25,"2025-12-26 18:15:02.061275+00","2025-12-26 18:15:02.061275+00"
261229,"Carlos e Castro","Alameda Santo do Vale, 5061",6,"2025-12-29 18:15:02.072785+00","2025-12-29 18:15:02.072785+00"
260460,"Marcelo Rosa Mendes","Travessa Quintino da Harmonia, 1089",20,"2025-12-27 02:10:01.737507+00","2025-12-27 02:10:01.737507+00"
260748,"Luiz Rafael Pereira","Rua Doutor dos Navegantes, 5798",3,"2025-12-28 02:10:01.469862+00","2025-12-28 02:10:01.469862+00"
260845,"Fernando João Oliveira","Beco Visconde dos Navegantes, 1840",15,"2025-12-28 10:15:01.294423+00","2025-12-28 10:15:01.294423+00"
260942,"Juliana Felipe Cavalcanti","Praça Visconde da Lua, 8800",28,"2025-12-28 18:20:01.703867+00","2025-12-28 18:20:01.703867+00"
261036,"Lívia dos Gomes","Beco Paulista dos Peixes, 8935",16,"2025-12-29 02:10:01.76048+00","2025-12-29 02:10:01.76048+00"
261133,"Juliana Márcia Araújo","Praça Marquês dos Navegantes, 6501",5,"2025-12-29 10:15:01.482826+00","2025-12-29 10:15:01.482826+00"
261230,"Tatiana e Santos","Rua Central da Serra, 7210",23,"2025-12-29 18:20:01.208131+00","2025-12-29 18:20:01.208131+00"
261324,"César Clara Pinto","Avenida Kennedy da Harmonia, 2863",16,"2025-12-30 02:10:01.26408+00","2025-12-30 02:10:01.26408+00"
261421,"Larissa João Cavalcanti","Via Visconde do Bosque, 6181",29,"2025-12-30 10:15:01.294073+00","2025-12-30 10:15:01.294073+00"
260557,"Aline Gustavo Santos","Rodovia Amazonas da Harmonia, 2190",15,"2025-12-27 10:15:01.290152+00","2025-12-27 10:15:01.290152+00"
260654,"Renata Fábio Rodrigues","Travessa Libertadores dos Navegantes, 8809",5,"2025-12-27 18:20:01.14153+00","2025-12-27 18:20:01.14153+00"
260172,"Luiz Samuel Monteiro","Largo Jardim das Américas, 1169",28,"2025-12-26 02:10:01.650345+00","2025-12-26 02:10:01.650345+00"
260269,"Gabriel Antônio Barbosa","Rodovia Internacional dos Peixes, 8570",13,"2025-12-26 10:15:01.220196+00","2025-12-26 10:15:01.220196+00"
260366,"César e Souza","Praça Paulista Vinhedos, 9552",12,"2025-12-26 18:20:01.184453+00","2025-12-26 18:20:01.184453+00"
260461,"Nathalia Fernando Cardoso","Travessa Santo das Acácias, 4276",25,"2025-12-27 02:15:01.880757+00","2025-12-27 02:15:01.880757+00"
260749,"César Antônio Pinto","Praça Santana da Paz, 7047",5,"2025-12-28 02:15:01.605577+00","2025-12-28 02:15:01.605577+00"
260846,"Henrique Francisco Silva","Praça Vicente do Progresso, 586",17,"2025-12-28 10:20:01.43192+00","2025-12-28 10:20:01.43192+00"
260943,"Mateus Eduardo Santos","Via Internacional das Estrelas, 4352",7,"2025-12-28 18:25:01.850072+00","2025-12-28 18:25:01.850072+00"
261037,"André Ana Silva","Beco Doutor da Prosperidade, 8221",9,"2025-12-29 02:15:01.931442+00","2025-12-29 02:15:01.931442+00"
261134,"Ana Felipe Barros","Travessa Vitória da Montanha, 3752",19,"2025-12-29 10:20:01.615602+00","2025-12-29 10:20:01.615602+00"
261231,"Camila Ana Lima","Largo Palmeiras da Floresta, 3840",5,"2025-12-29 18:25:01.424613+00","2025-12-29 18:25:01.424613+00"
261325,"Cristina do Rocha","Avenida Sete de Setembro do Porto, 6850",11,"2025-12-30 02:15:01.40446+00","2025-12-30 02:15:01.40446+00"
261422,"Juliana dos Almeida","Via Rainha do Porto, 2171",24,"2025-12-30 10:20:01.42966+00","2025-12-30 10:20:01.42966+00"
260558,"Fernanda Maria Rocha","Beco Juscelino dos Pinhais, 7674",8,"2025-12-27 10:20:01.463277+00","2025-12-27 10:20:01.463277+00"
260655,"Julia Ricardo Rodrigues","Estrada Nossa Senhora dos Peixes, 8543",17,"2025-12-27 18:25:01.28083+00","2025-12-27 18:25:01.28083+00"
260173,"Leonardo Márcia Oliveira","Rua Brasil da Vida, 1487",2,"2025-12-26 02:15:01.789056+00","2025-12-26 02:15:01.789056+00"
260270,"César Carla Santos","Beco Ipiranga das Rosas, 6705",16,"2025-12-26 10:20:01.349471+00","2025-12-26 10:20:01.349471+00"
260367,"Mateus Francisco Cavalcanti","Via Independência da Prosperidade, 9974",11,"2025-12-26 18:25:01.322758+00","2025-12-26 18:25:01.322758+00"
260462,"Renata Marcos Fernandes","Alameda Vicente do Futuro, 2466",29,"2025-12-27 02:20:02.047242+00","2025-12-27 02:20:02.047242+00"
